,year,yearCode,country,countryCode,gini,govExpEdu,gdpGrowth,gdpPC
1342,2006,YR2006,Chile,CHL,47.3,3.021529913,6.317176343,19603.69783
1348,2006,YR2006,Costa Rica,CRI,49.4,4.616139888999999,7.326695432,14976.81578
1353,2006,YR2006,Cyprus,CYP,31.1,6.330269813999999,4.713828666,38930.61305
1354,2006,YR2006,Czech Republic,CZE,26.7,4.195509911,6.766932681,32352.81297
1355,2006,YR2006,Denmark,DNK,25.9,7.729909897000001,3.913007978,53322.289000000004
1361,2006,YR2006,El Salvador,SLV,45.7,3.492980003,4.342895377,7136.8552819999995
1369,2006,YR2006,Finland,FIN,28.0,5.928380013,4.027409658,46412.20035
1374,2006,YR2006,Georgia,GEO,36.9,3.00364995,9.419770648,8049.9060549999995
1375,2006,YR2006,Germany,DEU,31.3,4.293960094,3.8164419130000002,45678.08192
1382,2006,YR2006,Guatemala,GTM,54.6,3.032850027,5.351397787,6972.381592
1389,2006,YR2006,Hungary,HUN,28.3,5.296080112,4.031013267,25377.052219999998
1390,2006,YR2006,Iceland,ISL,30.2,7.1952199939999995,6.316993086,49956.84865
1393,2006,YR2006,"Iran, Islamic Rep.",IRN,44.8,4.2899899480000006,4.999795262,12456.60988
1395,2006,YR2006,Ireland,IRL,32.7,4.547470093,4.980502016,58189.77752
1398,2006,YR2006,Italy,ITA,33.7,4.52545023,1.790639681,44918.17035
1402,2006,YR2006,Kazakhstan,KAZ,30.2,2.626780033,10.7,18112.7787
1409,2006,YR2006,Kyrgyz Republic,KGZ,37.4,5.549860001,3.102898745,3588.089918
1411,2006,YR2006,Latvia,LVA,35.6,4.6961297989999995,11.98636285,22802.366319999997
1417,2006,YR2006,Lithuania,LTU,34.4,4.825729847,7.414121335,22977.99665
1422,2006,YR2006,Malaysia,MYS,44.8,4.485760212,5.584847067,18752.54579
1428,2006,YR2006,Mauritius,MUS,35.7,3.6975100039999997,4.865544591,14165.95449
1429,2006,YR2006,Mexico,MEX,48.9,4.699920177,4.495077894,18319.47756
1431,2006,YR2006,Moldova,MDA,35.4,7.498990059,4.79999985,7599.524783
1441,2006,YR2006,Netherlands,NLD,30.0,5.044020176,3.460988954,51097.362610000004
1449,2006,YR2006,Norway,NOR,26.4,6.382760048,2.399828426,62846.958210000004
1456,2006,YR2006,Peru,PER,50.3,2.6528100969999997,7.528899044,8017.255022
1457,2006,YR2006,Philippines,PHL,47.2,2.4257900709999998,5.316416821000001,5228.315740999999
1458,2006,YR2006,Poland,POL,34.7,5.207650185,6.131143946,20111.299619999998
1459,2006,YR2006,Portugal,PRT,38.1,4.907670021,1.625034176,31524.74957
1462,2006,YR2006,Romania,ROU,39.6,4.306509972,8.028811076,18224.78359
1463,2006,YR2006,Russian Federation,RUS,41.0,3.866260052,8.200068255,21757.46517
1475,2006,YR2006,Slovak Republic,SVK,25.8,3.707700014,8.493177587,21776.129240000002
1476,2006,YR2006,Slovenia,SVN,24.4,5.590660095,5.746396901000001,32812.738489999996
1481,2006,YR2006,Spain,ESP,33.5,4.184820175,4.102727115,38858.47107
1489,2006,YR2006,Sweden,SWE,26.4,6.3642902370000005,4.662773552,47292.313689999995
1490,2006,YR2006,Switzerland,CHE,33.9,4.81757021,4.015007608,63686.24824
1494,2006,YR2006,Thailand,THA,41.8,4.05038023,4.967810892,12837.87792
1496,2006,YR2006,Togo,TGO,42.2,3.435009956,2.6501320969999997,1572.99505
1500,2006,YR2006,Turkey,TUR,39.6,2.728060007,6.9479880860000005,19277.53069
1505,2006,YR2006,Ukraine,UKR,29.8,6.214799881,7.4399179339999995,11852.65236
1507,2006,YR2006,United Kingdom,GBR,34.6,4.996890068,2.6938003669999997,43457.70177
1509,2006,YR2006,Uruguay,URY,45.9,2.8802599910000004,4.098577364,15188.64444
1526,2007,YR2007,Argentina,ARG,46.2,4.462600231000001,9.007650875,22424.11773
1527,2007,YR2007,Armenia,ARM,31.2,3.018939972,13.7,9708.415397
1530,2007,YR2007,Austria,AUT,30.6,5.146900177,3.727415301,52489.75721
1536,2007,YR2007,Belarus,BLR,29.6,5.152100086,8.600006536,14417.35353
1545,2007,YR2007,Brazil,BRA,54.9,4.974259853,6.069870608,13564.9942
1548,2007,YR2007,Bulgaria,BGR,36.1,3.682640076,6.557081052000001,16583.95878
1551,2007,YR2007,Cabo Verde,CPV,47.2,5.407549857999999,15.17068797,6018.107241
1553,2007,YR2007,Cameroon,CMR,42.8,3.075229883,4.902201732,3064.124804
1554,2007,YR2007,Canada,CAN,33.8,4.766409874,6.868608857000001,45888.47633
1565,2007,YR2007,Costa Rica,CRI,49.3,4.63451004,8.215131984,15989.33133
